Attack,Quadrant,Int,Align,Margin
BadNets,M_cl+X_cl,89.96435546875,14,5.36714506149292
BadNets,M_cl+X_bd,80.34693908691406,3,5.833893775939941
BadNets,M_po+X_cl,189.70193481445312,2,2.8890368938446045
BadNets,M_po+X_bd,285.3719482421875,1,6.507256507873535
Blended,M_cl+X_cl,89.96435546875,14,5.36714506149292
Blended,M_cl+X_bd,82.75242614746094,8,4.85284423828125
Blended,M_po+X_cl,197.77688598632812,5,3.376544713973999
Blended,M_po+X_bd,533.3193359375,2,11.172185897827148
WaNet,M_cl+X_cl,89.96435546875,14,5.36714506149292
WaNet,M_cl+X_bd,84.02713012695312,6,6.163060665130615
WaNet,M_po+X_cl,168.8868408203125,5,2.408928394317627
WaNet,M_po+X_bd,157.80270385742188,6,1.5201504230499268
SIG,M_cl+X_cl,89.96435546875,14,5.36714506149292
SIG,M_cl+X_bd,86.68571472167969,8,3.9921460151672363
SIG,M_po+X_cl,49.364540100097656,8,3.4652905464172363
SIG,M_po+X_bd,89.21248626708984,0,13.397514343261719
Refool,M_cl+X_cl,89.96435546875,14,5.36714506149292
Refool,M_cl+X_bd,85.41815948486328,6,4.687993049621582
Refool,M_po+X_cl,58.559226989746094,6,3.0133824348449707
Refool,M_po+X_bd,51.2808837890625,8,3.3699071407318115
InputAware,M_cl+X_cl,89.96435546875,14,5.36714506149292
InputAware,M_cl+X_bd,83.9168701171875,8,4.6354265213012695
InputAware,M_po+X_cl,118.99653625488281,7,6.435357570648193
InputAware,M_po+X_bd,78.7975845336914,4,3.5848631858825684
LIRA,M_cl+X_cl,89.96435546875,14,5.36714506149292
LIRA,M_cl+X_bd,83.48204040527344,6,6.290687561035156
LIRA,M_po+X_cl,223.37147521972656,0,4.418122291564941
LIRA,M_po+X_bd,264.80352783203125,0,4.983710289001465
FTrojan,M_cl+X_cl,89.96435546875,14,5.36714506149292
FTrojan,M_cl+X_bd,85.14320373535156,6,6.081809997558594
FTrojan,M_po+X_cl,56.35896682739258,16,5.913784027099609
FTrojan,M_po+X_bd,40.899620056152344,6,8.257730484008789
TrojanNN,M_cl+X_cl,89.96435546875,14,5.36714506149292
TrojanNN,M_cl+X_bd,84.0851821899414,7,4.427334308624268
TrojanNN,M_po+X_cl,204.74456787109375,3,7.66015100479126
TrojanNN,M_po+X_bd,188.63462829589844,1,12.787338256835938
Blind,M_cl+X_cl,89.96435546875,14,5.36714506149292
Blind,M_cl+X_bd,83.97003173828125,6,6.450586795806885
Blind,M_po+X_cl,57.47276306152344,5,3.713762044906616
Blind,M_po+X_bd,54.98296356201172,5,2.644651412963867
CTRL,M_cl+X_cl,89.96435546875,14,5.36714506149292
CTRL,M_cl+X_bd,84.66715240478516,8,4.928871154785156
CTRL,M_po+X_cl,84.18757629394531,15,5.901998043060303
CTRL,M_po+X_bd,73.59217071533203,3,3.481337308883667
BadNet_A2A,M_cl+X_cl,89.96435546875,14,5.36714506149292
BadNet_A2A,M_cl+X_bd,95.29719543457031,5,8.913352012634277
BadNet_A2A,M_po+X_cl,91.56939697265625,11,5.052488803863525
BadNet_A2A,M_po+X_bd,104.80374908447266,1,4.769720554351807
